127.0.0.1 - - [13/May/2018:23:19:00 +0000] "GET /2018/05/13/hello-world/ HTTP/1.1" 200 19535 "http://theroaster.local/2018/05/13/hello-world/" "WordPress/4.9.5; http://theroaster.local"
127.0.0.1 - - [13/May/2018:23:19:02 +0000] "POST /wp-cron.php?doing_wp_cron=1526253541.0185379981994628906250 HTTP/1.1" 499 0 "http://theroaster.local/wp-cron.php?doing_wp_cron=1526253541.0185379981994628906250" "WordPress/4.9.5; http://theroaster.local"
127.0.0.1 - - [13/May/2018:23:36:23 +0000] "GET / HTTP/1.0" 200 53250 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36"
127.0.0.1 - - [13/May/2018:23:36:29 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://theroaster.local/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36"
127.0.0.1 - - [13/May/2018:23:37:04 +0000] "GET /wp-admin HTTP/1.0" 301 178 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36"
127.0.0.1 - - [13/May/2018:23:37:04 +0000] "GET /wp-admin/ HTTP/1.0" 302 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36"
127.0.0.1 - - [13/May/2018:23:37:04 +0000] "GET /wp-login.php?redirect_to=http%3A%2F%2Ftheroaster.local%2Fwp-admin%2F&reauth=1 HTTP/1.0" 200 2270 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36"
127.0.0.1 - - [13/May/2018:23:37:04 +0000] "GET /wp-admin/load-styles.php?c=0&dir=ltr&load%5B%5D=dashicons,buttons,forms,l10n,login&ver=4.9.5 HTTP/1.0" 200 98296 "http://theroaster.local/wp-login.php?redirect_to=http%3A%2F%2Ftheroaster.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36"
127.0.0.1 - - [13/May/2018:23:37:05 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://theroaster.local/wp-login.php?redirect_to=http%3A%2F%2Ftheroaster.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36"
127.0.0.1 - - [13/May/2018:23:37:19 +0000] "POST /wp-login.php HTTP/1.0" 302 0 "http://theroaster.local/wp-login.php?redirect_to=http%3A%2F%2Ftheroaster.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36"
127.0.0.1 - - [13/May/2018:23:37:22 +0000] "GET /wp-admin/ HTTP/1.0" 200 54843 "http://theroaster.local/wp-login.php?redirect_to=http%3A%2F%2Ftheroaster.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36"
127.0.0.1 - - [13/May/2018:23:37:22 +0000] "GET /wp-admin/load-scripts.php?c=0&load%5B%5D=jquery-core,jquery-migrate,utils&ver=4.9.5 HTTP/1.0" 200 109068 "http://theroaster.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36"
